# {'par': {'k': 0.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.3; 'label': '(k_0.5)'}; 'guess_range': ([-20; 5; 5]; [0; 50; 25]); 'tols': (1e-09; 1e-06; 4)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances
-0.31145379403292284,0.0,[0. 0.],0.0,0.0,1,The solution converged.,"{'nfev': 11, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-3.04697936e+00,  4.91738319e-07, -1.21585749e+01]), 'qtf': array([-1.46594064e-10,  0.00000000e+00]), 'fvec': array([0., 0.])}",0.0,Real,-1,4
-1.5143820390320706,3.453395112882113,[ 5. 10.],5.120322230131908e-13,1.0861727650715363e-12,1,The solution converged.,"{'nfev': 38, 'fjac': array([[-0.65814934,  0.7528874 ],
       [-0.7528874 , -0.65814934]]), 'r': array([ 3.11926944,  0.0146235 , -3.81093384]), 'qtf': array([ 9.43177468e-10, -7.00914052e-09]), 'fvec': array([9.16135401e-13, 7.76301616e-13])}",1.4419482729869767e-24,No,0,38
-1.5143820390320706,-3.453395112882113,[ 5. 10.],5.120322230131908e-13,1.0861727650715363e-12,1,The solution converged.,"{'nfev': 38, 'fjac': array([[-0.65814934,  0.7528874 ],
       [-0.7528874 , -0.65814934]]), 'r': array([ 3.11926944,  0.0146235 , -3.81093384]), 'qtf': array([ 9.43177468e-10, -7.00914052e-09]), 'fvec': array([9.16135401e-13, 7.76301616e-13])}",1.4419482729869767e-24,Yes,0,38
-3.377304419704794,-8.449154612652826,[-3.37730442 -8.44915461],3.437443405177964e-13,2.19036971694783e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.41684123, -0.90897931],
       [ 0.90897931, -0.41684123]]), 'r': array([-11.81151688,  -8.95077208,   7.70685436]), 'qtf': array([-2.36781838e-12, -6.66473869e-13]), 'fvec': array([2.19028585e-12, 3.44278352e-13])}",4.915879668560132e-24,Yes,1,46
-3.377304419704794,8.449154612652826,[-3.37730442 -8.44915461],3.437443405177964e-13,2.19036971694783e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.41684123, -0.90897931],
       [ 0.90897931, -0.41684123]]), 'r': array([-11.81151688,  -8.95077208,   7.70685436]), 'qtf': array([-2.36781838e-12, -6.66473869e-13]), 'fvec': array([2.19028585e-12, 3.44278352e-13])}",4.915879668560132e-24,No,1,46
-5.0628972963709495,14.23005790657911,[ 5. 24.],4.033701675663327e-14,7.806679069473427e-13,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.6913636 , -0.72250701],
       [ 0.72250701, -0.6913636 ]]), 'r': array([ 4.05457761e+01, -1.08050537e-03,  4.05409170e+01]), 'qtf': array([-6.90039363e-10,  6.16431731e-10]), 'fvec': array([6.47247645e-14, 7.79025135e-13])}",6.110694558583698e-25,No,3,50
-5.0628972963709495,-14.23005790657911,[ 5. 24.],4.033701675663327e-14,7.806679069473427e-13,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.6913636 , -0.72250701],
       [ 0.72250701, -0.6913636 ]]), 'r': array([ 4.05457761e+01, -1.08050537e-03,  4.05409170e+01]), 'qtf': array([-6.90039363e-10,  6.16431731e-10]), 'fvec': array([6.47247645e-14, 7.79025135e-13])}",6.110694558583698e-25,Yes,3,50
-6.5526018649242905,20.40631373514393,[-15.  20.],1.648671846230216e-14,8.961856693433425e-13,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.99958925,  0.028659  ],
       [-0.028659  , -0.99958925]]), 'r': array([1.25956134e+02, 3.23791786e-02, 1.25791291e+02]), 'qtf': array([-2.92836693e-09, -1.77099722e-09]), 'fvec': array([4.12383223e-13, 7.95839584e-13])}",8.034205658220301e-25,No,2,42
-6.5526018649242905,-20.40631373514393,[-15.  20.],1.648671846230216e-14,8.961856693433425e-13,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.99958925,  0.028659  ],
       [-0.028659  , -0.99958925]]), 'r': array([1.25956134e+02, 3.23791786e-02, 1.25791291e+02]), 'qtf': array([-2.92836693e-09, -1.77099722e-09]), 'fvec': array([4.12383223e-13, 7.95839584e-13])}",8.034205658220301e-25,Yes,2,42
-7.889860155740485,-26.820308838638102,[ -7.88986016 -26.82030884],2.8435583831733384e-15,2.3437142008433856e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98867218, -0.15009101],
       [ 0.15009101, -0.98867218]]), 'r': array([-353.52425881, -104.91954716, -337.59634432]), 'qtf': array([-6.75261871e-13,  9.66726655e-14]), 'fvec': array([5.68711677e-14, 2.27384517e-13])}",5.493804837662801e-26,Yes,4,34
